LogisticRegression,DecisionTreeClassifier
"{'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__max_iter': 90, 'classifier__penalty': 'l1', 'classifier__solver': 'saga', 'classifier__tol': 0.0001, 'decomposition__n_components': 100, 'selector__k': 100}","{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': 0.5, 'classifier__max_leaf_nodes': 10, 'classifier__min_samples_split': 5, 'classifier__min_weight_fraction_leaf': 0.01, 'decomposition__n_components': 90, 'selector__k': 100}"
0.8128626771907076,0.7327073191444218
0.8308156438635086,0.7760400611073117
0.8180544073824858,0.7443128584703131
0.8132098016336056,0.7704462077012836
